what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393806843466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393806895294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393806984103
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393806984497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393806984775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393806987349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393806999903
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393807000169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807000435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807002909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807006616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807007209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807008544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807015761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807016392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807018546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393807036847
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393807037099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807037364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807039743
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393807063924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807064206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807065748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807068146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807113940
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1393807126641
error,log,,,"Project accelerometer_pen does not exist. Please check that your launch configuration specifies a valid project in your workspace.",1393807126683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807126696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807133656
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1393807141025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807141113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393807162271
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393807163641
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1393807163783
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1393807163817
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393807171840
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393807182644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393807183862
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393807185232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393807222435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393807226040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393807240489
