what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121092514
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121093635
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121114173
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121114766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121140726
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121160094
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1391121172592
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1391121172610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1391121173730
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1391121174781
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1391121174790
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1391121175907
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1391121177172
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1391121178086
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121184078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121192991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1391121192995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121197614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121232600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121233589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121234279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121237922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121247764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1391121248693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391121249132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121256363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121262533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121266069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121268312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121271360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121273194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121291621
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1391121294730
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121302980
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121303832
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1391121303836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121305747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121310707
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121312466
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121312642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121317156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121319251
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121320549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121321539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121321722
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121336395
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121336579
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121338603
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121338779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121346028
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121346236
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391121350619
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391121350835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121353493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121408681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391121410442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121410807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121421287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121421406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121421504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121429874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121436426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391121436871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1391121438482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121450929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121484220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121491090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121526828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121533412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121539942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121540924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121628422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391121640159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121662955
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1391121662960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121669069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121716531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121726357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121747988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121769631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121857152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391121958189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391122121913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391122122272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391122127927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122149434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122193803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122268470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122298313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122308679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122310829
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391122331304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391122339857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122405019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122480039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122550800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122611556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122614218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122621821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122622703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122623909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122664612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122665607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122666340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122667149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122671412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122724424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391122733232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122781904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122861773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391122874637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122879460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122882702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391122887307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122894620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391122949028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391122951478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391122951870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391123004310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123010595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123037869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391123044083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391123045268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123058244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123099868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123141927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123148442
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123194801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123196876
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123202579
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123233993
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123234785
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123235656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123252576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123272510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123273998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123477484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123482249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1391123482262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123484324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123496862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1391123496876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123505799
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123505896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123506711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123509590
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391123511910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123548725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123700505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391123724696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123754903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123759521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391123767511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123823424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123824556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123857430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123857542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391123858501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124049714
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391124077826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124100217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124599245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391124611693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124619604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124651639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391124686018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124713023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124767867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124769377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124770187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391124851652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124857670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124929209
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391124963529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391124970879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391124988074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391125180010
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125182872
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125198521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391125273787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391125297716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125345907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391125352940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1391125352953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391125360973
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125372766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125452585
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125465409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391125485548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391125502215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391125504728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391125505463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391125517772
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125521947
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391125525211
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125526692
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125531284
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125533044
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125541581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391125542360
