what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391127314464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391127320693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127322284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127338792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127346768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127353297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391127358270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391127362552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391127367928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127449831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391127453771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391127454319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127475748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127515043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127529436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391127540251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391127544428
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127545126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127545466
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391127546266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127553484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127553814
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127554748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127642910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127664799
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127747535
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127803019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391127831189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391127836765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127843929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391127846832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127850892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127851943
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127853033
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127861119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127866591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391127872071
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391127877078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127879767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127880889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127881967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127882814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391127883214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128128212
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128129562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128145034
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128146154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128147178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128156620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391128188491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1391128221767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391128225327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391128226421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391128234944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391128236295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1391128237342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391128239051
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128254053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128255902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1391128255914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128265595
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128265719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128266566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128268419
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128268537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128270502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391128270613
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391128287431
